He
   2.      4.00     1     0
   .225951   .225951
   501    .020
   1.8600000    .3985185    .0000629
   1.8800000    .3914156    .0000644
   1.9000000    .3844147    .0000660
   1.9200000    .3775154    .0000676
   1.9400000    .3707173    .0000692
   1.9600000    .3640200    .0000709
   1.9800000    .3574228    .0000726
   2.0000000    .3509254    .0000743
   2.0200000    .3445269    .0000761
   2.0400000    .3382267    .0000779
   2.0600000    .3320242    .0000797
   2.0800000    .3259186    .0000816
   2.1000000    .3199090    .0000835
   2.1200000    .3139947    .0000855
   2.1400000    .3081749    .0000875
   2.1600000    .3024486    .0000896
   2.1800000    .2968150    .0000916
   2.2000000    .2912731    .0000938
   2.2200000    .2858220    .0000959
   2.2400000    .2804608    .0000982
   2.2600000    .2751884    .0001004
   2.2800000    .2700039    .0001027
   2.3000000    .2649063    .0001051
   2.3200000    .2598945    .0001075
   2.3400000    .2549676    .0001100
   2.3600000    .2501245    .0001125
   2.3800000    .2453643    .0001151
   2.4000000    .2406857    .0001177
   2.4200000    .2360879    .0001204
   2.4400000    .2315697    .0001231
   2.4600000    .2271301    .0001259
   2.4800000    .2227681    .0001288
   2.5000000    .2184826    .0001317
   2.5200000    .2142725    .0001347
   2.5400000    .2101368    .0001377
   2.5600000    .2060745    .0001408
   2.5800000    .2020844    .0001440
   2.6000000    .1981657    .0001472
   2.6200000    .1943172    .0001506
   2.6400000    .1905378    .0001539
   2.6600000    .1868267    .0001574
   2.6800000    .1831827    .0001609
   2.7000000    .1796048    .0001645
   2.7200000    .1760921    .0001682
   2.7400000    .1726435    .0001720
   2.7600000    .1692580    .0001758
   2.7800000    .1659347    .0001798
   2.8000000    .1626725    .0001838
   2.8200000    .1594706    .0001879
   2.8400000    .1563279    .0001921
   2.8600000    .1532434    .0001963
   2.8800000    .1502164    .0002007
   2.9000000    .1472458    .0002052
   2.9200000    .1443306    .0002097
   2.9400000    .1414701    .0002144
   2.9600000    .1386632    .0002192
   2.9800000    .1359092    .0002240
   3.0000000    .1332070    .0002290
   3.0200000    .1305559    .0002341
   3.0400000    .1279549    .0002393
   3.0600000    .1254033    .0002446
   3.0800000    .1229001    .0002500
   3.1000000    .1204447    .0002555
   3.1200000    .1180360    .0002612
   3.1400000    .1156734    .0002670
   3.1600000    .1133559    .0002729
   3.1800000    .1110830    .0002789
   3.2000000    .1088536    .0002851
   3.2200000    .1066672    .0002914
   3.2400000    .1045229    .0002978
   3.2600000    .1024200    .0003044
   3.2800000    .1003578    .0003111
   3.3000000    .0983355    .0003180
   3.3200000    .0963524    .0003250
   3.3400000    .0944078    .0003322
   3.3600000    .0925011    .0003395
   3.3800000    .0906315    .0003470
   3.4000000    .0887983    .0003547
   3.4200000    .0870010    .0003625
   3.4400000    .0852388    .0003705
   3.4600000    .0835111    .0003787
   3.4800000    .0818173    .0003870
   3.5000000    .0801568    .0003956
   3.5200000    .0785289    .0004043
   3.5400000    .0769331    .0004132
   3.5600000    .0753687    .0004223
   3.5800000    .0738351    .0004316
   3.6000000    .0723319    .0004411
   3.6200000    .0708584    .0004508
   3.6400000    .0694140    .0004608
   3.6600000    .0679983    .0004709
   3.6800000    .0666107    .0004813
   3.7000000    .0652506    .0004919
   3.7200000    .0639176    .0005027
   3.7400000    .0626111    .0005138
   3.7600000    .0613306    .0005251
   3.7800000    .0600757    .0005367
   3.8000000    .0588458    .0005485
   3.8200000    .0576404    .0005606
   3.8400000    .0564592    .0005729
   3.8600000    .0553017    .0005855
   3.8800000    .0541673    .0005984
   3.9000000    .0530556    .0006116
   3.9200000    .0519663    .0006250
   3.9400000    .0508989    .0006388
   3.9600000    .0498529    .0006528
   3.9800000    .0488279    .0006672
   4.0000000    .0478236    .0006819
   4.0200000    .0468395    .0006969
   4.0400000    .0458753    .0007122
   4.0600000    .0449305    .0007279
   4.0800000    .0440048    .0007439
   4.1000000    .0430979    .0007603
   4.1200000    .0422092    .0007770
   4.1400000    .0413386    .0007941
   4.1600000    .0404856    .0008116
   4.1800000    .0396498    .0008294
   4.2000000    .0388310    .0008477
   4.2200000    .0380289    .0008663
   4.2400000    .0372430    .0008854
   4.2600000    .0364731    .0009049
   4.2800000    .0357189    .0009248
   4.3000000    .0349800    .0009451
   4.3200000    .0342561    .0009659
   4.3400000    .0335470    .0009872
   4.3600000    .0328523    .0010089
   4.3800000    .0321719    .0010311
   4.4000000    .0315053    .0010538
   4.4200000    .0308523    .0010770
   4.4400000    .0302126    .0011006
   4.4600000    .0295860    .0011249
   4.4800000    .0289723    .0011496
   4.5000000    .0283711    .0011749
   4.5200000    .0277822    .0012007
   4.5400000    .0272053    .0012271
   4.5600000    .0266403    .0012541
   4.5800000    .0260869    .0012817
   4.6000000    .0255448    .0013099
   4.6200000    .0250139    .0013387
   4.6400000    .0244938    .0013682
   4.6600000    .0239844    .0013983
   4.6800000    .0234855    .0014290
   4.7000000    .0229969    .0014605
   4.7200000    .0225183    .0014926
   4.7400000    .0220496    .0015254
   4.7600000    .0215905    .0015590
   4.7800000    .0211408    .0015933
   4.8000000    .0207004    .0016283
   4.8200000    .0202691    .0016641
   4.8400000    .0198467    .0017007
   4.8600000    .0194330    .0017382
   4.8800000    .0190279    .0017764
   4.9000000    .0186311    .0018155
   4.9200000    .0182425    .0018554
   4.9400000    .0178619    .0018962
   4.9600000    .0174892    .0019379
   4.9800000    .0171242    .0019805
