Be
   2.      9.00     1     0
  1.222959  1.222959
   501   0.020
   0.9800000   0.3495451   0.0057461
   1.0000000   0.3584435   0.0058926
   1.0200000   0.3673605   0.0060359
   1.0400000   0.3762862   0.0061761
   1.0600000   0.3852105   0.0063130
   1.0800000   0.3941227   0.0064463
   1.1000000   0.4030116   0.0065762
   1.1200000   0.4118658   0.0067025
   1.1400000   0.4206734   0.0068251
   1.1600000   0.4294224   0.0069442
   1.1800000   0.4381003   0.0070595
   1.2000000   0.4466948   0.0071713
   1.2200000   0.4551935   0.0072795
   1.2400000   0.4635837   0.0073843
   1.2600000   0.4718533   0.0074856
   1.2800000   0.4799900   0.0075836
   1.3000000   0.4879820   0.0076784
   1.3200000   0.4958178   0.0077701
   1.3400000   0.5034862   0.0078589
   1.3600000   0.5109766   0.0079449
   1.3800000   0.5182791   0.0080283
   1.4000000   0.5253842   0.0081092
   1.4200000   0.5322833   0.0081878
   1.4400000   0.5389683   0.0082643
   1.4600000   0.5454322   0.0083388
   1.4800000   0.5516686   0.0084116
   1.5000000   0.5576718   0.0084827
   1.5200000   0.5634374   0.0085523
   1.5400000   0.5689615   0.0086207
   1.5600000   0.5742411   0.0086879
   1.5800000   0.5792742   0.0087541
   1.6000000   0.5840596   0.0088194
   1.6200000   0.5885967   0.0088839
   1.6400000   0.5928859   0.0089478
   1.6600000   0.5969282   0.0090111
   1.6800000   0.6007255   0.0090740
   1.7000000   0.6042800   0.0091364
   1.7200000   0.6075947   0.0091986
   1.7400000   0.6106729   0.0092605
   1.7600000   0.6135188   0.0093221
   1.7800000   0.6161366   0.0093836
   1.8000000   0.6185309   0.0094449
   1.8200000   0.6207068   0.0095061
   1.8400000   0.6226694   0.0095672
   1.8600000   0.6244242   0.0096282
   1.8800000   0.6259766   0.0096891
   1.9000000   0.6273322   0.0097498
   1.9200000   0.6284966   0.0098105
   1.9400000   0.6294756   0.0098711
   1.9600000   0.6302747   0.0099316
   1.9800000   0.6308996   0.0099920
   2.0000000   0.6313556   0.0100523
   2.0200000   0.6316483   0.0101124
   2.0400000   0.6317828   0.0101724
   2.0600000   0.6317644   0.0102323
   2.0800000   0.6315980   0.0102921
   2.1000000   0.6312885   0.0103517
   2.1200000   0.6308407   0.0104112
   2.1400000   0.6302592   0.0104705
   2.1600000   0.6295483   0.0105297
   2.1800000   0.6287125   0.0105888
   2.2000000   0.6277559   0.0106478
   2.2200000   0.6266824   0.0107067
   2.2400000   0.6254961   0.0107655
   2.2600000   0.6242007   0.0108242
   2.2800000   0.6227999   0.0108829
   2.3000000   0.6212972   0.0109415
   2.3200000   0.6196961   0.0110000
   2.3400000   0.6180000   0.0110586
   2.3600000   0.6162120   0.0111171
   2.3800000   0.6143355   0.0111757
   2.4000000   0.6123735   0.0112343
   2.4200000   0.6103289   0.0112930
   2.4400000   0.6082048   0.0113517
   2.4600000   0.6060040   0.0114106
   2.4800000   0.6037293   0.0114696
   2.5000000   0.6013834   0.0115287
   2.5200000   0.5989689   0.0115880
   2.5400000   0.5964885   0.0116475
   2.5600000   0.5939447   0.0117072
   2.5800000   0.5913399   0.0117671
   2.6000000   0.5886766   0.0118273
   2.6200000   0.5859571   0.0118877
   2.6400000   0.5831838   0.0119485
   2.6600000   0.5803588   0.0120095
   2.6800000   0.5774844   0.0120709
   2.7000000   0.5745628   0.0121327
   2.7200000   0.5715959   0.0121948
   2.7400000   0.5685858   0.0122573
   2.7600000   0.5655346   0.0123202
   2.7800000   0.5624442   0.0123836
   2.8000000   0.5593163   0.0124475
   2.8200000   0.5561531   0.0125118
   2.8400000   0.5529561   0.0125766
   2.8600000   0.5497272   0.0126419
   2.8800000   0.5464680   0.0127078
   2.9000000   0.5431803   0.0127743
   2.9200000   0.5398656   0.0128413
   2.9400000   0.5365256   0.0129089
   2.9600000   0.5331618   0.0129772
   2.9800000   0.5297757   0.0130460
   3.0000000   0.5263687   0.0131156
   3.0200000   0.5229423   0.0131858
   3.0400000   0.5194978   0.0132568
   3.0600000   0.5160367   0.0133284
   3.0800000   0.5125602   0.0134008
   3.1000000   0.5090695   0.0134740
   3.1200000   0.5055660   0.0135479
   3.1400000   0.5020509   0.0136227
   3.1600000   0.4985252   0.0136982
   3.1800000   0.4949903   0.0137746
   3.2000000   0.4914471   0.0138519
   3.2200000   0.4878967   0.0139300
   3.2400000   0.4843402   0.0140091
   3.2600000   0.4807787   0.0140891
   3.2800000   0.4772130   0.0141700
   3.3000000   0.4736442   0.0142518
   3.3200000   0.4700732   0.0143347
   3.3400000   0.4665009   0.0144185
   3.3600000   0.4629281   0.0145034
   3.3800000   0.4593557   0.0145893
   3.4000000   0.4557846   0.0146763
   3.4200000   0.4522155   0.0147643
   3.4400000   0.4486493   0.0148535
   3.4600000   0.4450866   0.0149438
   3.4800000   0.4415281   0.0150352
   3.5000000   0.4379747   0.0151278
