H
   1.      1.00     1     0
  0.420005  0.420005
   501   0.020
   1.4000000   0.6672456   0.0011031
   1.4200000   0.6643867   0.0011297
   1.4400000   0.6614241   0.0011566
   1.4600000   0.6583628   0.0011838
   1.4800000   0.6552074   0.0012112
   1.5000000   0.6519627   0.0012390
   1.5200000   0.6486330   0.0012670
   1.5400000   0.6452227   0.0012953
   1.5600000   0.6417359   0.0013238
   1.5800000   0.6381766   0.0013527
   1.6000000   0.6345487   0.0013818
   1.6200000   0.6308560   0.0014113
   1.6400000   0.6271020   0.0014410
   1.6600000   0.6232904   0.0014711
   1.6800000   0.6194244   0.0015014
   1.7000000   0.6155073   0.0015320
   1.7200000   0.6115423   0.0015629
   1.7400000   0.6075324   0.0015942
   1.7600000   0.6034806   0.0016257
   1.7800000   0.5993897   0.0016576
   1.8000000   0.5952624   0.0016898
   1.8200000   0.5911014   0.0017223
   1.8400000   0.5869093   0.0017551
   1.8600000   0.5826885   0.0017883
   1.8800000   0.5784413   0.0018218
   1.9000000   0.5741702   0.0018556
   1.9200000   0.5698773   0.0018898
   1.9400000   0.5655647   0.0019243
   1.9600000   0.5612346   0.0019592
   1.9800000   0.5568888   0.0019944
   2.0000000   0.5525294   0.0020300
   2.0200000   0.5481581   0.0020659
   2.0400000   0.5437768   0.0021022
   2.0600000   0.5393872   0.0021389
   2.0800000   0.5349909   0.0021760
   2.1000000   0.5305895   0.0022134
   2.1200000   0.5261846   0.0022512
   2.1400000   0.5217777   0.0022895
   2.1600000   0.5173701   0.0023281
   2.1800000   0.5129633   0.0023671
   2.2000000   0.5085586   0.0024065
   2.2200000   0.5041572   0.0024464
   2.2400000   0.4997603   0.0024866
   2.2600000   0.4953692   0.0025273
   2.2800000   0.4909850   0.0025684
   2.3000000   0.4866087   0.0026100
   2.3200000   0.4822415   0.0026520
   2.3400000   0.4778842   0.0026944
   2.3600000   0.4735380   0.0027373
   2.3800000   0.4692036   0.0027807
   2.4000000   0.4648820   0.0028245
   2.4200000   0.4605740   0.0028688
   2.4400000   0.4562805   0.0029136
   2.4600000   0.4520022   0.0029589
   2.4800000   0.4477399   0.0030046
   2.5000000   0.4434942   0.0030509
   2.5200000   0.4392660   0.0030977
   2.5400000   0.4350557   0.0031450
   2.5600000   0.4308641   0.0031928
   2.5800000   0.4266918   0.0032412
   2.6000000   0.4225392   0.0032901
   2.6200000   0.4184071   0.0033395
   2.6400000   0.4142958   0.0033895
   2.6600000   0.4102058   0.0034401
   2.6800000   0.4061377   0.0034912
   2.7000000   0.4020919   0.0035430
   2.7200000   0.3980687   0.0035953
   2.7400000   0.3940687   0.0036482
   2.7600000   0.3900921   0.0037017
   2.7800000   0.3861394   0.0037558
   2.8000000   0.3822108   0.0038106
   2.8200000   0.3783067   0.0038659
   2.8400000   0.3744274   0.0039220
   2.8600000   0.3705731   0.0039786
   2.8800000   0.3667442   0.0040360
   2.9000000   0.3629408   0.0040940
   2.9200000   0.3591633   0.0041527
   2.9400000   0.3554117   0.0042121
   2.9600000   0.3516864   0.0042721
   2.9800000   0.3479875   0.0043329
   3.0000000   0.3443152   0.0043944
   3.0200000   0.3406696   0.0044567
   3.0400000   0.3370508   0.0045197
   3.0600000   0.3334590   0.0045834
   3.0800000   0.3298944   0.0046479
   3.1000000   0.3263570   0.0047132
   3.1200000   0.3228469   0.0047793
   3.1400000   0.3193641   0.0048461
   3.1600000   0.3159089   0.0049138
   3.1800000   0.3124811   0.0049823
   3.2000000   0.3090810   0.0050516
   3.2200000   0.3057084   0.0051218
   3.2400000   0.3023635   0.0051928
   3.2600000   0.2990462   0.0052647
   3.2800000   0.2957566   0.0053375
   3.3000000   0.2924947   0.0054112
   3.3200000   0.2892604   0.0054858
   3.3400000   0.2860539   0.0055613
   3.3600000   0.2828749   0.0056378
   3.3800000   0.2797235   0.0057152
   3.4000000   0.2765998   0.0057935
   3.4200000   0.2735035   0.0058729
   3.4400000   0.2704347   0.0059532
   3.4600000   0.2673934   0.0060346
   3.4800000   0.2643794   0.0061169
   3.5000000   0.2613927   0.0062003
